dte,name
2004-12-26,Boxing Day
2004-12-27,Substitute day for Christmas Day
2004-12-28,Substitute day for Boxing Day
2005-01-03,New Year's Day
2005-02-14,Valentine's Day
2005-03-01,St. David's Day
2005-03-06,Mother's day
2005-03-25,Good Friday
2005-03-28,Easter Monday
2005-04-23,St. George's Day
2005-05-02,Early May Bank Holiday (May Day)
2005-05-30,Late May Bank Holiday
2005-06-19,Father's Day
2005-08-29,August Bank Holiday
2005-10-31,Halloween
2005-11-05,Guy Fawkes Day
2005-12-25,Christmas Day
2005-12-26,Boxing Day
2005-12-27,Substitute day for Christmas Day
2006-01-02,New Year's Day
2006-02-14,Valentine's Day
2006-03-01,St. David's Day
2006-03-26,Mother's day
2006-04-14,Good Friday
2006-04-17,Easter Monday
2006-04-23,St. George's Day
2006-05-01,Early May Bank Holiday (May Day)
2006-05-29,Late May Bank Holiday
2006-06-18,Father's Day
2006-08-28,August Bank Holiday
2006-10-31,Halloween
2006-11-05,Guy Fawkes Day
2006-12-25,Christmas Day
2006-12-26,Boxing Day
2007-01-01,New Year's Day
2007-02-14,Valentine's Day
2007-03-01,St. David's Day
2007-03-18,Mother's day
2007-04-06,Good Friday
2007-04-09,Easter Monday
2007-04-23,St. George's Day
2007-05-07,Early May Bank Holiday (May Day)
2007-05-28,Late May Bank Holiday
2007-06-17,Father's Day
2007-08-27,August Bank Holiday
2007-10-31,Halloween
2007-11-05,Guy Fawkes Day
2007-12-25,Christmas Day
2007-12-26,Boxing Day
2008-01-01,New Year's Day
2008-02-14,Valentine's Day
2008-03-01,St. David's Day
2008-03-02,Mother's day
2008-03-21,Good Friday
2008-03-24,Easter Monday
2008-04-23,St. George's Day
2008-05-05,Early May Bank Holiday (May Day)
2008-05-26,Late May Bank Holiday
2008-06-15,Father's Day
2008-08-25,August Bank Holiday
2008-10-31,Halloween
2008-11-05,Guy Fawkes Day
2008-12-25,Christmas Day
2008-12-26,Boxing Day
2009-01-01,New Year's Day
2009-02-14,Valentine's Day
2009-03-01,St. David's Day
2009-03-22,Mother's day
2009-04-10,Good Friday
2009-04-13,Easter Monday
2009-04-23,St. George's Day
2009-05-04,Early May Bank Holiday (May Day)
2009-05-25,Late May Bank Holiday
2009-06-21,Father's Day
2009-08-31,August Bank Holiday
2009-10-31,Halloween
2009-11-05,Guy Fawkes Day
2009-12-25,Christmas Day
2009-12-26,Boxing Day
2009-12-28,Substitute day for Boxing Day
2010-01-01,New Year's Day
2010-02-14,Valentine's Day
2010-03-01,St. David's Day
2010-03-14,Mother's day
2010-04-02,Good Friday
2010-04-05,Easter Monday
2010-04-23,St. George's Day
2010-05-03,Early May Bank Holiday (May Day)
2010-05-31,Late May Bank Holiday
2010-06-20,Father's Day
2010-08-30,August Bank Holiday
2010-10-31,Halloween
2010-11-05,Guy Fawkes Day
2010-12-25,Christmas Day
2010-12-26,Boxing Day
2010-12-27,Substitute day for Christmas Day
2010-12-28,Substitute day for Boxing Day
2011-01-03,New Year's Day
2011-02-14,Valentine's Day
2011-03-01,St. David's Day
2011-04-03,Mother's day
2011-04-22,Good Friday
2011-04-23,St. George's Day
2011-04-25,Easter Monday
2011-04-29,The wedding of Prince William and Catherine Middleton
2011-05-02,Early May Bank Holiday (May Day)
2011-05-30,Late May Bank Holiday
2011-06-19,Father's Day
2011-08-29,August Bank Holiday
2011-10-31,Halloween
2011-11-05,Guy Fawkes Day
2011-12-25,Christmas Day
2011-12-26,Boxing Day
2011-12-27,Substitute day for Christmas Day
2012-01-02,New Year's Day
2012-02-14,Valentine's Day
2012-03-01,St. David's Day
2012-03-18,Mother's day
2012-04-06,Good Friday
2012-04-09,Easter Monday
2012-04-23,St. George's Day
2012-05-07,Early May Bank Holiday (May Day)
2012-06-04,Late May Bank Holiday
2012-06-05,Diamond Jubilee of Elizabeth II
2012-06-17,Father's Day
2012-08-27,August Bank Holiday
2012-10-31,Halloween
2012-11-05,Guy Fawkes Day
2012-12-25,Christmas Day
2012-12-26,Boxing Day
2013-01-01,New Year's Day
2013-02-14,Valentine's Day
2013-03-01,St. David's Day
2013-03-10,Mother's day
2013-03-29,Good Friday
2013-04-01,Easter Monday
2013-04-23,St. George's Day
2013-05-06,Early May Bank Holiday (May Day)
2013-05-27,Late May Bank Holiday
2013-06-16,Father's Day
2013-08-26,August Bank Holiday
2013-10-31,Halloween
2013-11-05,Guy Fawkes Day
2013-12-25,Christmas Day
2013-12-26,Boxing Day
2014-01-01,New Year's Day
2014-02-14,Valentine's Day
2014-03-01,St. David's Day
2014-03-30,Mother's day
2014-04-18,Good Friday
2014-04-21,Easter Monday
2014-04-23,St. George's Day
2014-05-05,Early May Bank Holiday (May Day)
2014-05-26,Late May Bank Holiday
2014-06-15,Father's Day
2014-08-25,August Bank Holiday
2014-10-31,Halloween
2014-11-05,Guy Fawkes Day
2014-12-25,Christmas Day
2014-12-26,Boxing Day
2015-01-01,New Year's Day
2015-02-14,Valentine's Day
2015-03-01,St. David's Day
2015-03-15,Mother's day
2015-04-03,Good Friday
2015-04-06,Easter Monday
2015-04-23,St. George's Day
2015-05-04,Early May Bank Holiday (May Day)
2015-05-25,Late May Bank Holiday
2015-06-21,Father's Day
2015-08-31,August Bank Holiday
2015-10-31,Halloween
2015-11-05,Guy Fawkes Day
2015-12-25,Christmas Day
2015-12-26,Boxing Day
2015-12-28,Substitute day for Boxing Day
2016-01-01,New Year's Day
2016-02-14,Valentine's Day
2016-03-01,St. David's Day
2016-03-06,Mother's day
2016-03-25,Good Friday
2016-03-28,Easter Monday
2016-04-23,St. George's Day
2016-05-02,Early May Bank Holiday (May Day)
2016-05-30,Late May Bank Holiday
2016-06-19,Father's Day
2016-08-29,August Bank Holiday
2016-10-31,Halloween
2016-11-05,Guy Fawkes Day
2016-12-25,Christmas Day
2016-12-26,Boxing Day
2016-12-27,Substitute day for Christmas Day
2017-01-02,New Year's Day
2017-02-14,Valentine's Day
2017-03-01,St. David's Day
2017-03-26,Mother's day
2017-04-14,Good Friday
2017-04-17,Easter Monday
2017-04-23,St. George's Day
2017-05-01,Early May Bank Holiday (May Day)
2017-05-29,Late May Bank Holiday
2017-06-18,Father's Day
2017-08-28,August Bank Holiday
2017-10-31,Halloween
2017-11-05,Guy Fawkes Day
2017-12-25,Christmas Day
2017-12-26,Boxing Day
2018-01-01,New Year's Day
2018-02-14,Valentine's Day
2018-03-01,St. David's Day
2018-03-11,Mother's day
2018-03-30,Good Friday
2018-04-02,Easter Monday
2018-04-23,St. George's Day
2018-05-07,Early May Bank Holiday (May Day)
2018-05-28,Late May Bank Holiday
2018-06-17,Father's Day
2018-08-27,August Bank Holiday
2018-10-31,Halloween
2018-11-05,Guy Fawkes Day
2018-12-25,Christmas Day
2018-12-26,Boxing Day
2019-01-01,New Year's Day
2019-02-14,Valentine's Day
2019-03-01,St. David's Day
2019-03-31,Mother's day
2019-04-19,Good Friday
2019-04-22,Easter Monday
2019-04-23,St. George's Day
2019-05-06,Early May Bank Holiday (May Day)
2019-05-27,Late May Bank Holiday
2019-06-16,Father's Day
2019-08-26,August Bank Holiday
2019-10-31,Halloween
2019-11-05,Guy Fawkes Day
2019-12-25,Christmas Day
2019-12-26,Boxing Day
2020-01-01,New Year's Day
2020-02-14,Valentine's Day
2020-03-01,St. David's Day
2020-03-22,Mother's day
2020-04-10,Good Friday
